mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	3	2/4	1/2	0					firstMeasure	2
2	2	2	2.0	3	2/4	1/2	0						3
3	3	4	2.0	3	2/4	1/2	0						4
4	4	6	2.0	3	2/4	1/2	0						5
5	5	8	1.0	3	2/4	1/4	0						6
6	6	9	1.0	3	2/4	1/4	1/4						7
7	7	10	2.0	3	2/4	1/2	0						8
8	8	12	2.0	3	2/4	1/2	0						9
9	9	14	2.0	3	2/4	1/2	0						10
10	10	16	2.0	3	2/4	1/2	0						11
11	11	18	2.0	3	2/4	1/2	0			double			12
12	12	20	3.5	3	3/4	7/8	0						13
13	13	47/2	1.0	3	3/4	1/4	0						14
14	14	49/2	2.5	3	3/4	5/8	0			double			15
15	15	27	2.0	3	2/4	1/2	0						16
16	16	29	2.0	3	2/4	1/2	0						17
17	17	31	1.0	3	2/4	1/4	0						18
18	18	32	1.0	3	2/4	1/4	1/4						19
19	19	33	2.0	3	2/4	1/2	0						20
20	20	35	2.0	3	2/4	1/2	0						21
21	21	37	2.0	3	2/4	1/2	0						22
22	22	39	2.0	3	2/4	1/2	0						23
23	23	41	2.0	3	2/4	1/2	0			double			24
24	24	43	3.5	3	3/4	7/8	0						25
25	25	93/2	1.0	3	3/4	1/4	0						26
26	26	95/2	2.5	3	3/4	5/8	0			double			27
27	27	50	2.0	3	2/4	1/2	0						28
28	28	52	2.0	3	2/4	1/2	0						29
29	29	54	2.0	3	2/4	1/2	0						30
30	30	56	2.0	3	2/4	1/2	0						31
31	31	58	2.0	3	2/4	1/2	0			double			32
32	32	60	1.0	3	1/4	1/4	0			double			33
33	33	61	3.0	3	3/4	3/4	0						34
34	34	64	1.0	3	3/4	1/4	0						35
35	35	65	2.0	3	3/4	1/2	1/4						36
36	36	67	3.0	3	3/4	3/4	0						37
37	37	70	3.0	3	3/4	3/4	0						38
38	38	73	3.0	3	3/4	3/4	0						39
39	39	76	3.0	3	3/4	3/4	0						40
40	40	79	3.0	3	3/4	3/4	0						41
41	41	82	3.0	3	3/4	3/4	0						42
42	42	85	2.0	3	3/4	1/2	0						43
43	43	87	1.0	3	3/4	1/4	1/2						44
44	44	88	3.0	3	3/4	3/4	0			double			45
45	45	91	3.0	3	4/4	3/4	0						46
46	46	94	1.5	3	4/4	3/8	0			double			47
47	47	191/2	3.0	3	3/4	3/4	0			double			48
48	48	197/2	3.0	3	4/4	3/4	0						49
49	49	203/2	1.5	3	4/4	3/8	0						50
50	50	103	3.0	3	4/4	3/4	0			double			51
51	51	106	3.0	3	5/4	3/4	0						52
52	52	109	2.0	3	5/4	1/2	3/4			double			53
53	53	111	2.0	3	2/4	1/2	0						54
54	54	113	2.0	3	2/4	1/2	0						55
55	55	115	2.0	3	2/4	1/2	0						56
56	56	117	2.0	3	2/4	1/2	0						57
57	57	119	2.0	3	2/4	1/2	0						58
58	58	121	2.0	3	2/4	1/2	0						59
59	59	123	2.0	3	2/4	1/2	0						60
60	60	125	2.0	3	2/4	1/2	0						61
61	61	127	2.0	3	2/4	1/2	0						62
62	62	129	2.0	3	2/4	1/2	0						63
63	63	131	2.0	3	2/4	1/2	0			double			64
64	64	133	3.0	3	3/4	3/4	0						65
65	65	136	3.0	3	3/4	3/4	0						66
66	66	139	3.0	3	3/4	3/4	0						67
67	67	142	3.0	3	3/4	3/4	0						68
68	68	145	3.0	3	3/4	3/4	0						69
69	69	148	3.0	3	3/4	3/4	0			double			70
70	70	151	2.0	3	2/4	1/2	0						71
71	71	153	2.0	3	2/4	1/2	0						72
72	72	155	2.0	3	2/4	1/2	0						73
73	73	157	2.0	3	2/4	1/2	0						74
74	74	159	2.0	3	2/4	1/2	0						75
75	75	161	2.0	3	2/4	1/2	0						76
76	76	163	2.0	3	2/4	1/2	0						77
77	77	165	3.0	-3	3/4	3/4	0			double			78
78	78	168	3.0	-3	4/4	3/4	0						79
79	79	171	1.0	-3	4/4	1/4	3/4			double			80
80	80	172	3.0	-3	3/4	3/4	0			double			81
81	81	175	4.0	-3	4/4	1	0						82
82	82	179	4.0	-3	4/4	1	0			double			83
83	83	183	3.0	-3	5/4	3/4	0						84
84	84	186	2.0	-3	5/4	1/2	3/4			double			85
85	85	188	2.0	-3	2/4	1/2	0						86
86	86	190	2.0	-3	2/4	1/2	0						87
87	87	192	2.0	-3	2/4	1/2	0						88
88	88	194	2.0	-3	2/4	1/2	0						89
89	89	196	2.0	-3	2/4	1/2	0			double			90
90	90	198	3.0	3	3/4	3/4	0			double			91
91	91	201	2.0	3	2/4	1/2	0			double			92
92	92	203	3.0	3	3/4	3/4	0			double			93
93	93	206	4.0	3	4/4	1	0						94
94	94	210	4.0	3	4/4	1	0						95
95	95	214	4.0	3	4/4	1	0						96
96	96	218	4.0	3	4/4	1	0			double			97
97	97	222	3.0	3	3/4	3/4	0						98
98	98	225	3.0	3	3/4	3/4	0						99
99	99	228	3.0	3	3/4	3/4	0			double			100
100	100	231	4.0	3	4/4	1	0						101
101	101	235	2.0	3	4/4	1/2	0						102
102	102	237	2.0	3	4/4	1/2	1/2						103
103	103	239	4.0	3	4/4	1	0						104
104	104	243	3.0	3	4/4	3/4	0						105
105	105	246	3.0	3	4/4	3/4	0						106
106	106	249	3.0	3	4/4	3/4	0						107
107	107	252	4.0	3	4/4	1	0						108
108	108	256	4.0	3	4/4	1	0			double			109
109	109	260	2.0	3	2/4	1/2	0						110
110	110	262	4.0	3	4/4	1	0						111
111	111	266	4.0	3	4/4	1	0						112
112	112	270	4.0	3	4/4	1	0						113
113	113	274	4.0	3	4/4	1	0						114
114	114	278	4.0	3	4/4	1	0						115
115	115	282	4.0	3	4/4	1	0			double			116
116	116	286	3.0	3	3/4	3/4	0						117
117	117	289	3.0	3	3/4	3/4	0						118
118	118	292	3.0	3	3/4	3/4	0			double			119
119	119	295	4.0	3	4/4	1	0						120
120	120	299	4.0	3	4/4	1	0						121
121	121	303	4.0	3	4/4	1	0						122
122	122	307	4.0	3	4/4	1	0			double			123
123	123	311	3.0	3	3/4	3/4	0						124
124	124	314	3.0	3	3/4	3/4	0						125
125	125	317	3.0	3	3/4	3/4	0						126
126	126	320	3.0	3	3/4	3/4	0						127
127	127	323	4.0	3	4/4	1	0			double			128
128	128	327	3.0	3	3/4	3/4	0			double			129
129	129	330	2.0	3	2/4	1/2	0						130
130	130	332	2.0	3	2/4	1/2	0						131
131	131	334	2.0	3	2/4	1/2	0						132
132	132	336	2.0	3	2/4	1/2	0						133
133	133	338	2.0	3	2/4	1/2	0						134
134	134	340	2.0	3	2/4	1/2	0						135
135	135	342	2.0	3	2/4	1/2	0						136
136	136	344	3.0	3	2/4	3/4	0						137
137	137	347	2.0	3	2/4	1/2	0						138
138	138	349	2.0	3	2/4	1/2	0						139
139	139	351	2.0	3	2/4	1/2	0						140
140	140	353	2.0	3	2/4	1/2	0						141
141	141	355	2.0	3	2/4	1/2	0						142
142	142	357	2.0	3	2/4	1/2	0						143
143	143	359	2.0	3	2/4	1/2	0						144
144	144	361	2.5	3	2/4	5/8	0						145
145	145	727/2	2.0	3	2/4	1/2	0			double			146
146	146	731/2	3.0	3	3/4	3/4	0						147
147	147	737/2	2.0	3	3/4	1/2	0						148
148	148	741/2	2.0	3	3/4	1/2	0						149
149	149	745/2	2.5	3	3/4	5/8	0						150
150	150	375	3.0	3	3/4	3/4	0						151
151	151	378	2.0	3	3/4	1/2	0			end		lastMeasure	-1
